gid,srand,Primary,Secondary,Internal,Antisense
b4403,+,4638684,[],"[4638991, 4639136]","[4639029, 4639123]"
b4401,-,4638395,[],[4637785],[]
b4398,+,4633747,[],[],"[4634086, 4634197]"
b4396,-,4633376,[],[],"[4632754, 4633266]"
b4397,+,4633266,"[4633447, 4633500]",[4633747],[4634086]
b4394,-,4631795,[4632004],[],[4631693]
b4395,+,4631693,[],[4632308],"[4631795, 4632004]"
b4393,+,4630722,[],[],"[4630704, 4630706]"
b4392,+,4628705,"[4628539, 4628701]",[4629591],"[4628738, 4629253, 4629916, 4630019, 4630406, 4630704, 4630706]"
b4391,-,4628590,[4628738],"[4626980, 4627653]","[4627361, 4628539]"
b4390,+,4625324,[],[],[]
b4388,+,4622879,[4622849],[],[4622834]
b4387,-,4622834,[],[],"[4622181, 4622849, 4622879]"
b4385,+,4619762,[],[4620197],[4620462]
b4384,+,4618812,[],[4619052],[4618978]
b4383,+,4617590,[],"[4618254, 4618812]","[4617572, 4618072]"
b4380,-,4615116,[],[],"[4614203, 4614702, 4615010]"
b4377,+,4610402,[],"[4610699, 4610847, 4611181]","[4610396, 4610676, 4611151]"
b4568,+,4610086,[],[],"[4610125, 4610396]"
b4376,+,4609176,[],[],[]
b4374,+,4606412,[],[],"[4606638, 4607362, 4607424]"
b4372,+,4605804,[],[],[4605757]
b4371,-,4605757,[],"[4604922, 4605054, 4605479]","[4604728, 4605443, 4605804]"
b4370,-,4604424,[4604457],[],[]
b4369,-,4604309,[],[],[]
b4368,-,4604188,[],[],[]
b4367,-,4603713,[],"[4602976, 4603004, 4603477]","[4603400, 4603696]"
b4567,+,4603696,[],[],"[4604014, 4604030]"
b4365,+,4601342,[],"[4601551, 4601614]",[]
b4364,-,4600928,[4601057],[4600476],[]
b4362,-,4599637,[4599580],[4599131],[4599333]
b4361,-,4599131,[],[4598446],[]
b4360,-,4598446,[],[],[]
b4359,-,4597516,"[4597543, 4597717]",[],"[4595425, 4596568, 4596849, 4597027]"
b4357,-,4593888,[],"[4593454, 4593838]",[]
b4356,-,4592959,[],"[4591963, 4592091, 4592596]","[4591711, 4592775]"
b4355,+,4589566,[],"[4590129, 4590715]","[4589679, 4591359]"
b4354,-,4589390,[],"[4587250, 4587682, 4588996, 4589131, 4589287]","[4587305, 4589331]"
b4353,-,4587139,[4587250],[4587081],"[4586935, 4587041]"
b4352,-,4587081,[],[],"[4586250, 4586935]"
b4351,+,4584926,[],"[4585347, 4585654, 4585673]",[4584922]
b4350,-,4584833,[4584922],"[4581286, 4581316, 4581792, 4583657, 4584484]","[4581304, 4583213, 4584419]"
