#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NC_021352.1",1,1575,"+",69620393,"dnaA","C629_RS00005","WP_003855327.1",524,"MULTISPECIES: chromosomal replication initiator protein DnaA"
"chromosome","NC_021352.1",2292,3476,"+",69620394,"dnaN","C629_RS00010","WP_003855336.1",394,"MULTISPECIES: DNA polymerase III subunit beta"
"chromosome","NC_021352.1",3585,4769,"+",69620395,"recF","C629_RS00015","WP_003855337.1",394,"MULTISPECIES: DNA replication/repair protein RecF"
"chromosome","NC_021352.1",4766,5302,"+",69620396,,"C629_RS00020","WP_003855338.1",178,"MULTISPECIES: DUF721 domain-containing protein"
"chromosome","NC_021352.1",5435,7489,"+",69620397,"gyrB","C629_RS00025","WP_003855339.1",684,"MULTISPECIES: DNA topoisomerase (ATP-hydrolyzing) subunit B"
"chromosome","NC_021352.1",7923,8798,"+",69620398,,"C629_RS00030","WP_230471432.1",291,"MULTISPECIES: alpha/beta fold hydrolase"
"chromosome","NC_021352.1",8795,9376,"-",69620399,,"C629_RS00035","WP_003855341.1",193,"MULTISPECIES: DUF6198 family protein"
"chromosome","NC_021352.1",9471,9914,"-",69620400,,"C629_RS00040","WP_003855342.1",147,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",10105,11178,"-",69620401,"ssuR","C629_RS00045","WP_074469772.1",357,"MULTISPECIES: transcriptional regulator SsuR"
"chromosome","NC_021352.1",11261,11524,"-",69620402,,"C629_RS00050","WP_003855344.1",87,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",11521,11730,"-",69620403,,"C629_RS00055","WP_003855345.1",69,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",11832,14402,"+",69620404,"gyrA","C629_RS00060","WP_003855346.1",856,"MULTISPECIES: DNA gyrase subunit A"
"chromosome","NC_021352.1",14406,14750,"+",69620405,,"C629_RS00065","WP_003855347.1",114,"MULTISPECIES: DUF3566 domain-containing protein"
"chromosome","NC_021352.1",14920,16440,"+",69620406,,"C629_RS00075","WP_230471433.1",506,"APC family permease"
"chromosome","NC_021352.1",16467,17780,"+",69620407,,"C629_RS00080","WP_003855350.1",437,"MULTISPECIES: FAD-dependent oxidoreductase"
"chromosome","NC_021352.1",17786,18712,"-",69620408,,"C629_RS00085","WP_003855351.1",308,"helix-turn-helix domain-containing protein"
"chromosome","NC_021352.1",18907,20307,"+",69620409,,"C629_RS00090","WP_003855352.1",466,"aldehyde dehydrogenase family protein"
"chromosome","NC_021352.1",20813,21850,"-",69620412,,"C629_RS00105","WP_003855353.1",345,"MULTISPECIES: YeiH family protein"
"chromosome","NC_021352.1",21921,22817,"+",69620413,,"C629_RS00110","WP_003855354.1",298,"LysR family transcriptional regulator"
"chromosome","NC_021352.1",22867,23280,"+",69620414,,"C629_RS00115","WP_003855355.1",137,"MULTISPECIES: SMI1/KNR4 family protein"
"chromosome","NC_021352.1",23463,24335,"-",69620415,,"C629_RS00120","WP_003855356.1",290,"MULTISPECIES: cytochrome c biogenesis CcdA family protein"
"chromosome","NC_021352.1",24339,25085,"-",69620416,,"C629_RS00125","WP_003855357.1",248,"MULTISPECIES: DsbA family protein"
"chromosome","NC_021352.1",25311,25682,"+",69620417,,"C629_RS00130","WP_003855358.1",123,"MULTISPECIES: BlaI/MecI/CopY family transcriptional regulator"
"chromosome","NC_021352.1",25679,26677,"+",69620418,,"C629_RS00135","WP_003855359.1",332,"MULTISPECIES: M56 family metallopeptidase"
